company_id,year,CFO_sign,CFI_sign,CFF_sign,pattern_label
ABB,2012-12,+,-,-,Shareholder Returns
ABB,2014-03,+,+,+,Aggressive Expansion
ABB,2015-03,-,-,+,Distress
ABB,2016-03,+,-,-,Reinvestor
ABB,2017-03,+,-,-,Reinvestor
ABB,2018-03,+,-,+,Growth Financed Externally
ABB,2019-03,+,-,+,Growth Financed Externally
ABB,2020-03,+,-,+,Growth Financed Externally
ABB,2021-03,+,-,-,Reinvestor
ABB,2022-03,+,-,-,Reinvestor
ABB,2023-03,+,-,+,Growth Financed Externally
ABB,2024-03,+,-,-,Reinvestor
ADANIENSOL,2014-03,+,+,+,Aggressive Expansion
ADANIENSOL,2015-03,-,-,+,Distress
ADANIENSOL,2016-03,+,-,-,Reinvestor
ADANIENSOL,2017-03,+,-,-,Reinvestor
ADANIENSOL,2018-03,+,-,+,Growth Financed Externally
ADANIENSOL,2019-03,+,-,+,Growth Financed Externally
ADANIENSOL,2020-03,+,-,+,Growth Financed Externally
ADANIENSOL,2021-03,+,-,-,Reinvestor
ADANIENSOL,2022-03,+,-,-,Reinvestor
ADANIENSOL,2023-03,+,-,+,Growth Financed Externally
ADANIENSOL,2024-03,+,-,-,Reinvestor
ADANIENT,2013-03,+,-,+,Growth Financed Externally
ADANIENT,2014-03,+,-,-,Reinvestor
ADANIENT,2015-03,+,-,+,Growth Financed Externally
ADANIENT,2016-03,+,-,-,Reinvestor
ADANIENT,2017-03,+,-,+,Growth Financed Externally
ADANIENT,2018-03,+,-,+,Growth Financed Externally
ADANIENT,2019-03,+,+,-,Deleveraging via Divestment
ADANIENT,2020-03,+,-,-,Reinvestor
ADANIENT,2021-03,+,-,+,Growth Financed Externally
ADANIENT,2022-03,+,-,+,Growth Financed Externally
ADANIENT,2023-03,+,-,-,Reinvestor
ADANIENT,2024-03,+,-,+,Growth Financed Externally
ADANIGREEN,2017-03,+,-,+,Growth Financed Externally
ADANIGREEN,2018-03,+,-,+,Growth Financed Externally
ADANIGREEN,2019-03,+,-,+,Growth Financed Externally
ADANIGREEN,2020-03,+,-,+,Growth Financed Externally
ADANIGREEN,2021-03,+,-,+,Growth Financed Externally
ADANIGREEN,2022-03,+,-,+,Growth Financed Externally
ADANIGREEN,2023-03,+,-,-,Reinvestor
ADANIGREEN,2024-03,+,-,+,Growth Financed Externally
ADANIPORTS,2013-03,+,-,+,Growth Financed Externally
ADANIPORTS,2014-03,+,-,+,Growth Financed Externally
ADANIPORTS,2015-03,+,-,-,Reinvestor
ADANIPORTS,2016-03,+,-,+,Growth Financed Externally
ADANIPORTS,2017-03,+,-,-,Reinvestor
ADANIPORTS,2018-03,+,-,-,Reinvestor
ADANIPORTS,2019-03,+,-,+,Growth Financed Externally
ADANIPORTS,2020-03,+,-,-,Reinvestor
ADANIPORTS,2021-03,+,-,+,Growth Financed Externally
ADANIPORTS,2022-03,+,-,-,Reinvestor
ADANIPORTS,2023-03,+,-,-,Reinvestor
ADANIPORTS,2024-03,+,-,-,Reinvestor
ADANIPOWER,2013-03,+,-,+,Growth Financed Externally
ADANIPOWER,2014-03,+,-,+,Growth Financed Externally
ADANIPOWER,2015-03,+,-,-,Shareholder Returns
ADANIPOWER,2016-03,+,-,-,Reinvestor
ADANIPOWER,2017-03,+,-,-,Shareholder Returns
ADANIPOWER,2018-03,+,-,-,Shareholder Returns
ADANIPOWER,2019-03,+,-,-,Shareholder Returns
ADANIPOWER,2020-03,+,-,-,Shareholder Returns
ADANIPOWER,2021-03,+,-,-,Reinvestor
ADANIPOWER,2022-03,+,+,-,Deleveraging via Divestment
ADANIPOWER,2023-03,+,+,-,Deleveraging via Divestment
ADANIPOWER,2024-03,+,+,-,Deleveraging via Divestment
AMBUJACEM,2012-12,+,-,-,Reinvestor
AMBUJACEM,2013-12,+,-,-,Shareholder Returns
AMBUJACEM,2014-12,+,-,-,Reinvestor
AMBUJACEM,2015-12,+,-,-,Reinvestor
AMBUJACEM,2016-12,+,-,-,Reinvestor
AMBUJACEM,2017-12,+,-,-,Reinvestor
AMBUJACEM,2018-12,+,-,-,Shareholder Returns
AMBUJACEM,2019-12,+,-,-,Reinvestor
AMBUJACEM,2020-12,+,-,-,Reinvestor
AMBUJACEM,2021-12,+,-,-,Reinvestor
AMBUJACEM,2024-03,+,-,+,Growth Financed Externally
APOLLOHOSP,2013-03,+,-,+,Growth Financed Externally
APOLLOHOSP,2014-03,+,-,-,Reinvestor
APOLLOHOSP,2015-03,+,-,+,Growth Financed Externally
APOLLOHOSP,2016-03,+,-,+,Growth Financed Externally
APOLLOHOSP,2017-03,+,-,+,Growth Financed Externally
APOLLOHOSP,2018-03,+,-,-,Reinvestor
APOLLOHOSP,2019-03,+,-,-,Reinvestor
APOLLOHOSP,2020-03,+,-,-,Reinvestor
APOLLOHOSP,2021-03,+,-,-,Reinvestor
APOLLOHOSP,2022-03,+,-,-,Reinvestor
APOLLOHOSP,2023-03,+,-,-,Reinvestor
APOLLOHOSP,2024-03,+,-,-,Reinvestor
ASIANPAINT,2013-03,+,-,-,Reinvestor
ASIANPAINT,2014-03,+,-,-,Reinvestor
ASIANPAINT,2015-03,+,-,-,Shareholder Returns
ASIANPAINT,2016-03,+,-,-,Reinvestor
ASIANPAINT,2017-03,+,-,-,Shareholder Returns
ASIANPAINT,2018-03,+,-,-,Reinvestor
ASIANPAINT,2019-03,+,-,-,Reinvestor
ASIANPAINT,2020-03,+,-,-,Reinvestor
ASIANPAINT,2021-03,+,-,-,Reinvestor
ASIANPAINT,2022-03,+,-,-,Shareholder Returns
ASIANPAINT,2023-03,+,-,-,Shareholder Returns
ASIANPAINT,2024-03,+,-,-,Reinvestor
BAJAJ-AUTO,2013-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2014-03,+,-,-,Reinvestor
BAJAJ-AUTO,2015-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2016-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2017-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2018-03,+,-,-,Reinvestor
BAJAJ-AUTO,2019-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2020-03,+,+,-,Deleveraging via Divestment
BAJAJ-AUTO,2021-03,+,-,-,Shareholder Returns
BAJAJ-AUTO,2022-03,+,+,-,Deleveraging via Divestment
BAJAJ-AUTO,2023-03,+,+,-,Deleveraging via Divestment
BAJAJ-AUTO,2024-03,+,-,-,Shareholder Returns
AXISBANK,2013-03,+,-,+,Growth Financed Externally
AXISBANK,2014-03,+,-,+,Growth Financed Externally
AXISBANK,2015-03,-,-,+,Distress
AXISBANK,2016-03,-,+,+,Distress
AXISBANK,2017-03,+,-,-,Reinvestor
AXISBANK,2018-03,-,-,+,Distress
AXISBANK,2019-03,+,-,+,Growth Financed Externally
AXISBANK,2020-03,+,-,+,Growth Financed Externally
AXISBANK,2021-03,+,-,+,Growth Financed Externally
AXISBANK,2022-03,+,-,+,Growth Financed Externally
AXISBANK,2023-03,+,-,+,Growth Financed Externally
AXISBANK,2024-03,-,-,+,Distress
BAJAJFINSV,2013-03,-,+,+,Distress
BAJAJFINSV,2014-03,-,+,+,Distress
BAJAJFINSV,2015-03,-,+,+,Distress
BAJAJFINSV,2016-03,-,-,+,Distress
BAJAJFINSV,2017-03,-,+,+,Distress
BAJAJFINSV,2018-03,-,-,+,Distress
BAJAJFINSV,2019-03,-,-,+,Distress
BAJAJFINSV,2020-03,-,-,+,Distress
BAJAJFINSV,2021-03,+,-,+,Growth Financed Externally
BAJAJFINSV,2022-03,-,+,+,Distress
BAJAJFINSV,2023-03,-,-,+,Distress
BAJAJFINSV,2024-03,-,-,+,Distress
BAJAJHLDNG,2013-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2014-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2015-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2016-03,+,+,-,Deleveraging via Divestment
BAJAJHLDNG,2017-03,-,-,-,Cash Burn
BAJAJHLDNG,2018-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2019-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2020-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2021-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2022-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2023-03,+,-,-,Shareholder Returns
BAJAJHLDNG,2024-03,+,-,-,Shareholder Returns
BAJFINANCE,2015-03,-,-,+,Distress
BAJFINANCE,2016-03,-,-,+,Distress
BAJFINANCE,2017-03,-,-,+,Distress
BAJFINANCE,2018-03,-,+,+,Distress
BAJFINANCE,2019-03,-,-,+,Distress
BAJFINANCE,2020-03,-,-,+,Distress
BAJFINANCE,2021-03,-,-,+,Distress
BAJFINANCE,2022-03,-,+,+,Distress
BAJFINANCE,2023-03,-,-,+,Distress
BAJFINANCE,2024-03,-,-,+,Distress
BANKBARODA,2013-03,+,-,-,Reinvestor
BANKBARODA,2014-03,+,-,+,Growth Financed Externally
BANKBARODA,2015-03,+,-,-,Reinvestor
BANKBARODA,2016-03,-,-,-,Cash Burn
BANKBARODA,2017-03,+,-,-,Reinvestor
BANKBARODA,2018-03,-,-,+,Distress
BANKBARODA,2019-03,-,-,+,Distress
BANKBARODA,2020-03,+,-,+,Growth Financed Externally
BANKBARODA,2021-03,-,-,-,Cash Burn
BANKBARODA,2022-03,+,-,-,Shareholder Returns
BANKBARODA,2023-03,-,-,-,Cash Burn
BANKBARODA,2024-03,-,-,+,Distress
BHARTIARTL,2013-03,+,-,-,Reinvestor
BHARTIARTL,2014-03,+,-,+,Growth Financed Externally
BHARTIARTL,2015-03,+,-,-,Reinvestor
BHARTIARTL,2016-03,+,-,-,Reinvestor
BHARTIARTL,2017-03,+,-,-,Reinvestor
BHARTIARTL,2018-03,+,-,+,Growth Financed Externally
BHARTIARTL,2019-03,+,-,+,Growth Financed Externally
BHARTIARTL,2020-03,+,-,+,Growth Financed Externally
BHARTIARTL,2021-03,+,-,-,Shareholder Returns
BHARTIARTL,2022-03,+,-,-,Reinvestor
BHARTIARTL,2023-03,+,-,-,Reinvestor
BHARTIARTL,2024-03,+,-,-,Reinvestor
BEL,2013-03,-,+,-,Distressed Asset Sale
BEL,2014-03,-,+,-,Distressed Asset Sale
BEL,2015-03,+,-,-,Reinvestor
BEL,2016-03,+,-,-,Reinvestor
BEL,2017-03,-,+,-,Distressed Asset Sale
BEL,2018-03,-,-,-,Cash Burn
BEL,2019-03,+,-,-,Shareholder Returns
BEL,2020-03,+,-,-,Reinvestor
BEL,2021-03,+,-,-,Reinvestor
BEL,2022-03,+,-,-,Reinvestor
BEL,2023-03,+,+,-,Deleveraging via Divestment
BEL,2024-03,+,-,-,Reinvestor
BHEL,2013-03,+,-,+,Growth Financed Externally
BHEL,2014-03,+,-,+,Growth Financed Externally
BHEL,2015-03,+,+,-,Deleveraging via Divestment
BHEL,2016-03,+,+,-,Deleveraging via Divestment
BHEL,2017-03,+,-,-,Reinvestor
BHEL,2018-03,+,+,-,Deleveraging via Divestment
BHEL,2019-03,-,+,-,Distressed Asset Sale
BHEL,2020-03,-,+,+,Distress
BHEL,2021-03,+,-,-,Shareholder Returns
BHEL,2022-03,+,-,-,Reinvestor
BHEL,2023-03,-,+,+,Distress
BHEL,2024-03,-,+,+,Distress
BOSCHLTD,2012-12,+,-,-,Shareholder Returns
BOSCHLTD,2013-12,+,-,-,Reinvestor
BOSCHLTD,2015-03,+,-,-,Reinvestor
BOSCHLTD,2016-03,+,-,-,Shareholder Returns
BOSCHLTD,2017-03,+,+,-,Deleveraging via Divestment
BOSCHLTD,2018-03,+,-,-,Reinvestor
BOSCHLTD,2019-03,+,+,-,Deleveraging via Divestment
BOSCHLTD,2020-03,+,-,-,Reinvestor
BOSCHLTD,2021-03,+,-,-,Reinvestor
BOSCHLTD,2022-03,+,-,-,Shareholder Returns
BOSCHLTD,2023-03,+,+,-,Deleveraging via Divestment
BOSCHLTD,2024-03,+,+,-,Deleveraging via Divestment
BPCL,2013-03,+,-,-,Reinvestor
BPCL,2014-03,+,-,-,Reinvestor
BPCL,2015-03,+,-,-,Reinvestor
BPCL,2016-03,+,-,-,Reinvestor
BPCL,2017-03,+,-,+,Growth Financed Externally
BPCL,2018-03,+,-,-,Reinvestor
BPCL,2019-03,+,-,+,Growth Financed Externally
BPCL,2020-03,+,-,+,Growth Financed Externally
BPCL,2021-03,+,-,-,Reinvestor
BPCL,2022-03,+,-,-,Reinvestor
BPCL,2023-03,+,-,-,Reinvestor
BPCL,2024-03,+,-,-,Reinvestor
BRITANNIA,2013-03,+,+,-,Deleveraging via Divestment
BRITANNIA,2014-03,+,-,-,Reinvestor
BRITANNIA,2015-03,+,-,-,Shareholder Returns
BRITANNIA,2016-03,+,-,-,Reinvestor
BRITANNIA,2017-03,+,-,-,Shareholder Returns
BRITANNIA,2018-03,+,-,-,Reinvestor
BRITANNIA,2019-03,+,-,-,Reinvestor
BRITANNIA,2020-03,+,-,+,Growth Financed Externally
BRITANNIA,2021-03,+,+,-,Deleveraging via Divestment
BRITANNIA,2022-03,+,+,-,Deleveraging via Divestment
BRITANNIA,2023-03,+,-,-,Reinvestor
BRITANNIA,2024-03,+,+,-,Deleveraging via Divestment
CANBK,2013-03,+,-,-,Reinvestor
CANBK,2014-03,+,-,-,Reinvestor
CANBK,2015-03,+,-,-,Reinvestor
CANBK,2016-03,+,-,-,Shareholder Returns
CANBK,2017-03,+,-,+,Growth Financed Externally
CANBK,2018-03,-,-,+,Distress
CANBK,2019-03,+,-,-,Reinvestor
CANBK,2020-03,-,-,+,Distress
CANBK,2021-03,+,-,+,Growth Financed Externally
CANBK,2022-03,+,-,+,Growth Financed Externally
CANBK,2023-03,-,-,+,Distress
CANBK,2024-03,+,-,-,Shareholder Returns
CHOLAFIN,2013-03,-,+,+,Distress
CHOLAFIN,2014-03,-,-,+,Distress
CHOLAFIN,2015-03,-,-,+,Distress
CHOLAFIN,2016-03,-,-,+,Distress
CHOLAFIN,2017-03,-,-,+,Distress
CHOLAFIN,2018-03,-,-,+,Distress
CHOLAFIN,2019-03,-,-,+,Distress
CHOLAFIN,2020-03,-,-,+,Distress
CHOLAFIN,2021-03,-,-,+,Distress
CHOLAFIN,2022-03,-,+,+,Distress
CHOLAFIN,2023-03,-,-,+,Distress
CHOLAFIN,2024-03,-,-,+,Distress
CIPLA,2013-03,+,-,+,Growth Financed Externally
CIPLA,2014-03,+,-,-,Reinvestor
CIPLA,2015-03,+,-,+,Growth Financed Externally
CIPLA,2016-03,+,-,+,Growth Financed Externally
CIPLA,2017-03,+,-,-,Reinvestor
CIPLA,2018-03,+,-,-,Reinvestor
CIPLA,2019-03,+,-,-,Reinvestor
