table,rows_in,rows_out,rejected_orphan_fk,rejected_bad_year,rejected_duplicate,rejected_total,timestamp,runtime_s
companies,92,92,0,0,0,0,2026-08-19T00:08:43.940315,1.32
profitandloss,1276,1070,99,95,12,206,2026-08-19T00:08:43.940315,1.32
balancesheet,1312,1140,85,0,87,172,2026-08-19T00:08:43.940315,1.32
cashflow,1187,1056,96,0,35,131,2026-08-19T00:08:43.940315,1.32
documents,1585,1457,128,0,0,128,2026-08-19T00:08:43.940315,1.32
analysis,20,16,4,0,0,4,2026-08-19T00:08:43.940315,1.32
prosandcons,16,14,2,0,0,2,2026-08-19T00:08:43.940315,1.32
sectors,92,92,0,0,0,0,2026-08-19T00:08:43.940315,1.32
stock_prices,5520,5520,0,0,0,0,2026-08-19T00:08:43.940315,1.32
market_cap,552,552,0,0,0,0,2026-08-19T00:08:43.940315,1.32
financial_ratios,1184,1041,24,0,119,143,2026-08-19T00:08:43.940315,1.32
peer_groups,56,56,0,0,0,0,2026-08-19T00:08:43.940315,1.32
